a00;colera
x631;auto intoxicacao exposicao intencional outras substancias farmacologicas acao sobre sistema nervoso autonomo habitacao coletiva
x632;auto intoxicacao exposicao intencional outras substancias farmacologicas acao sobre sistema nervoso autonomo escolas outras instituicoes areas administracao publica
x633;auto intoxicacao exposicao intencional outras substancias farmacologicas acao sobre sistema nervoso autonomo area pratica esportes atletismo
x634;auto intoxicacao exposicao intencional outras substancias farmacologicas acao sobre sistema nervoso autonomo rua estrada
x635;auto intoxicacao exposicao intencional outras substancias farmacologicas acao sobre sistema nervoso autonomo areas comercio servicos
x636;auto intoxicacao exposicao intencional outras substancias farmacologicas acao sobre sistema nervoso autonomo areas industriais construcao
x637;auto intoxicacao exposicao intencional outras substancias farmacologicas acao sobre sistema nervoso autonomo fazenda
x638;auto intoxicacao exposicao intencional outras substancias farmacologicas acao sobre sistema nervoso autonomo outros locais especificados
x639;auto intoxicacao exposicao intencional outras substancias farmacologicas acao sobre sistema nervoso autonomo local nao especificado
x64;auto intoxicacao exposicao intencional outras drogas medicamentos substancias biologicas nao especificadas
x640;auto intoxicacao exposicao intencional outras drogas medicamentos substancias biologicas nao especificadas residencia
x641;auto intoxicacao exposicao intencional outras drogas medicamentos substancias biologicas nao especificadas habitacao coletiva
x642;auto intoxicacao exposicao intencional outras drogas medicamentos substancias biologicas nao especificadas escolas outras instituicoes areas administracao publica
x643;auto intoxicacao exposicao intencional outras drogas medicamentos substancias biologicas nao especificadas area pratica esportes atletismo
x644;auto intoxicacao exposicao intencional outras drogas medicamentos substancias biologicas nao especificadas rua estrada
x645;auto intoxicacao exposicao intencional outras drogas medicamentos substancias biologicas nao especificadas areas comercio servicos
x646;auto intoxicacao exposicao intencional outras drogas medicamentos substancias biologicas nao especificadas areas industriais construcao
x647;auto intoxicacao exposicao intencional outras drogas medicamentos substancias biologicas nao especificadas fazenda
x648;auto intoxicacao exposicao intencional outras drogas medicamentos substancias biologicas nao especificadas outros locais especificados
x649;auto intoxicacao exposicao intencional outras drogas medicamentos substancias biologicas nao especificadas local nao especificado
x65;auto intoxicacao voluntaria alcool
x650;auto intoxicacao voluntaria alcool residencia
x651;auto intoxicacao voluntaria alcool habitacao coletiva
x652;auto intoxicacao voluntaria alcool escolas outras instituicoes areas administracao publica
x653;auto intoxicacao voluntaria alcool area pratica esportes atletismo
x654;auto intoxicacao voluntaria alcool rua estrada
x655;auto intoxicacao voluntaria alcool areas comercio servicos
x656;auto intoxicacao voluntaria alcool areas industriais construcao
x657;auto intoxicacao voluntaria alcool fazenda
x658;auto intoxicacao voluntaria alcool outros locais especificados
x659;auto intoxicacao voluntaria alcool local nao especificado
x66;auto intoxicacao intencional solventes organicos hidrocarbonetos halogenados seus vapores
x660;auto intoxicacao intencional solventes organicos hidrocarbonetos halogenados seus vapores residencia
x661;auto intoxicacao intencional solventes organicos hidrocarbonetos halogenados seus vapores habitacao coletiva
x662;auto intoxicacao intencional solventes organicos hidrocarbonetos halogenados seus vapores escolas outras instituicoes areas administracao publica
x663;auto intoxicacao intencional solventes organicos hidrocarbonetos halogenados seus vapores area pratica esportes atletismo
x664;auto intoxicacao intencional solventes organicos hidrocarbonetos halogenados seus vapores rua estrada
x665;auto intoxicacao intencional solventes organicos hidrocarbonetos halogenados seus vapores areas comercio servicos
x666;auto intoxicacao intencional solventes organicos hidrocarbonetos halogenados seus vapores areas industriais construcao
x667;auto intoxicacao intencional solventes organicos hidrocarbonetos halogenados seus vapores fazenda
x668;auto intoxicacao intencional solventes organicos hidrocarbonetos halogenados seus vapores outros locais especificados
x669;auto intoxicacao intencional solventes organicos hidrocarbonetos halogenados seus vapores local nao especificado
x67;auto intoxicacao intencional outros gases vapores
x670;auto intoxicacao intencional outros gases vapores residencia
x671;auto intoxicacao intencional outros gases vapores habitacao coletiva
x672;auto intoxicacao intencional outros gases vapores escolas outras instituicoes areas administracao publica
x673;auto intoxicacao intencional outros gases vapores area pratica esportes atletismo
x674;auto intoxicacao intencional outros gases vapores rua estrada
x675;auto intoxicacao intencional outros gases vapores areas comercio servicos
x676;auto intoxicacao intencional outros gases vapores areas industriais construcao
x677;auto intoxicacao intencional outros gases vapores fazenda
x678;auto intoxicacao intencional outros gases vapores outros locais especificados
x679;auto intoxicacao intencional outros gases vapores local nao especificado
x68;auto intoxicacao exposicao intencional pesticidas
x680;auto intoxicacao exposicao intencional pesticidas residencia
x681;auto intoxicacao exposicao intencional pesticidas habitacao coletiva
x682;auto intoxicacao exposicao intencional pesticidas escolas outras instituicoes areas administracao publica
x683;auto intoxicacao exposicao intencional pesticidas area pratica esportes atletismo
x684;auto intoxicacao exposicao intencional pesticidas rua estrada
x685;auto intoxicacao exposicao intencional pesticidas areas comercio servicos
x686;auto intoxicacao exposicao intencional pesticidas areas industriais construcao
x687;auto intoxicacao exposicao intencional pesticidas fazenda
x688;auto intoxicacao exposicao intencional pesticidas outros locais especificados
x689;auto intoxicacao exposicao intencional pesticidas local nao especificado
x69;auto intoxicacao exposicao intencional outros produtos quimicos substancias nocivas nao especificadas
x690;auto intoxicacao exposicao intencional outros produtos quimicos substancias nocivas nao especificadas residencia
x691;auto intoxicacao exposicao intencional outros produtos quimicos substancias nocivas nao especificadas habitacao coletiva
x692;auto intoxicacao exposicao intencional outros produtos quimicos substancias nocivas nao especificadas escolas outras instituicoes areas administracao publica
x693;auto intoxicacao exposicao intencional outros produtos quimicos substancias nocivas nao especificadas area pratica esportes atletismo
x694;auto intoxicacao exposicao intencional outros produtos quimicos substancias nocivas nao especificadas rua estrada
x695;auto intoxicacao exposicao intencional outros produtos quimicos substancias nocivas nao especificadas areas comercio servicos
x696;auto intoxicacao exposicao intencional outros produtos quimicos substancias nocivas nao especificadas areas industriais construcao
x697;auto intoxicacao exposicao intencional outros produtos quimicos substancias nocivas nao especificadas fazenda
x698;auto intoxicacao exposicao intencional outros produtos quimicos substancias nocivas nao especificadas outros locais especificados
x699;auto intoxicacao exposicao intencional outros produtos quimicos substancias nocivas nao especificadas local nao especificado
x70;lesao autoprovocada intencionalmente enforcamento estrangulamento sufocacao
x700;lesao autoprovocada intencionalmente enforcamento estrangulamento sufocacao residencia
x701;lesao autoprovocada intencionalmente enforcamento estrangulamento sufocacao habitacao coletiva
x702;lesao autoprovocada intencionalmente enforcamento estrangulamento sufocacao escolas outras instituicoes areas administracao publica
x703;lesao autoprovocada intencionalmente enforcamento estrangulamento sufocacao area pratica esportes atletismo
x704;lesao autoprovocada intencionalmente enforcamento estrangulamento sufocacao rua estrada
x705;lesao autoprovocada intencionalmente enforcamento estrangulamento sufocacao areas comercio servicos
x706;lesao autoprovocada intencionalmente enforcamento estrangulamento sufocacao areas industriais construcao
x707;lesao autoprovocada intencionalmente enforcamento estrangulamento sufocacao fazenda
x708;lesao autoprovocada intencionalmente enforcamento estrangulamento sufocacao outros locais especificados
x709;lesao autoprovocada intencionalmente enforcamento estrangulamento sufocacao local nao especificado
x71;lesao autoprovocada intencionalmente afogamento submersao
x710;lesao autoprovocada intencionalmente afogamento submersao residencia
x711;lesao autoprovocada intencionalmente afogamento submersao habitacao coletiva
